REMITOS,CANTIDAD
1000025347,80
1000025348,20
1000025349,32
1000025350,396
1000025351,107
1000025352,66
1000025353,50
1000025354,15
1000025355,15
1000025356,25
1000025357,1704
1000025358,627
1000025359,132
1000025360,1150
1000025361,295
1000025362,288
1000025363,140
1000025364,66
1000025365,257
1000025366,83
1000025367,90
1000025368,29
1000025369,43
1000025370,23
1000025371,390
1000025372,290
1000025373,42
1000025374,108
1000025375,231
1000025376,108
1000025377,98
1000025378,222
1000025379,66
1000025380,176
1000025381,104
1000025382,20
1000025383,22
1000025384,9
1000025385,18
1000025386,68
1000025387,3
1000025388,50
1000025389,37
1000025390,22
1000025391,36
1000025392,887
1000025393,3
1000025394,363
1000025395,3
1000025396,339
1000025397,78
1000025398,61
1000025399,57
1000025400,42
1000025401,211
1000025402,230
1000025403,26
1000025404,40
1000025405,48
1000025406,264
1000025407,119
1000025408,96
1000025409,82
1000025412,314
1000025413,11
1000025414,630
1000025415,2
1000025416,26
1000025417,40
1000025418,6
1000025419,54
1000025420,96
1000025421,309
1000025422,101
1000025423,40
1000025424,24
1000025425,39
1000025426,39
1000025427,15
1000025428,74
1000025429,10
1000025430,34
1000025431,36
1000025432,100
1000025433,10
1000025434,10
1000025435,93
1000025436,40
1000025437,70
1000025438,913
1000025439,118
1000025440,82
1000025441,50
1000025442,7
1000025443,7
1000025444,4
1000025445,5
1000025446,20
1000025447,23
1000025448,145
1000025449,30
1000025450,16
1000025451,3
1000025452,124
1000025453,40
1000025454,1035
1000025455,3427
1000025456,933
1000025457,132
1000025458,279
1000025459,135
1000025460,286
1000025461,272
1000025462,5
1000025463,589
1000025464,575
1000025465,438
1000025466,450
1000025467,28
1000025468,349
1000025469,315
1000025470,100
1000025471,170
1000025472,50
1000025473,112
1000025474,30
1000025475,1450
1000025476,370
1000025477,2087
1000025478,788
1000025479,2165
1000025480,1779
1000025481,348
1000025482,386
1000025483,383
1000025484,560
1000025485,508
1000025486,2102
1000025487,10
1000025488,87
1000025489,86
1000025490,104
1000025491,383
1000025492,38
1000025493,56
1000025494,4
1000025495,1522
1000025496,601
1000025497,1790
1000025498,100
1000025499,96
1000025500,1216
1000025501,352
1000025502,31
1000025503,354
1000025504,324
1000025505,296
1000025506,73
1000025507,160
1000025508,6
1000025509,219
1000025510,647
1000025511,161
1000025512,345
1000025513,108
1000025514,1017
1000025515,440
1000025516,44
1000025517,146
1000025518,146
1000025519,268
1000025520,94
1000025521,140
1000025522,34
1000025523,195
1000025524,111
1000025525,40
1000025526,238
1000025527,213
1000025529,308
1000025530,100
1000025531,49
1000025532,92
1000025533,64
1000025534,77
1000025535,254
1000025536,19
1000025537,396
1000025538,398
1000025539,245
1000025540,326
1000025541,1579
1000025542,993
1000025543,36
1000025544,252
1000025545,1178
1000025547,304
1000025548,600
1000025549,332
1000025550,660
1000025551,624
1000025552,209
1000025553,350
1000025554,420
1000025555,316
1000025556,112
1000025557,302
1000025558,264
