remito,remitoOriginal,cantidad
1000024779,0001000024779,14
1000024780,0001000024780,145
1000024781,0001000024781,19
1000024782,0001000024782,99
1000024783,0001000024783,206
1000024784,0001000024784,112
1000024785,0001000024785,10
1000024786,0001000024786,114
1000024787,0001000024787,205
1000024788,0001000024788,157
1000024789,0001000024789,167
1000024790,0001000024790,292
1000024791,0001000024791,41
1000024792,0001000024792,48
1000024793,0001000024793,458
1000024794,0001000024794,152
1000024795,0001000024795,14
1000024796,0001000024796,39
1000024797,0001000024797,189
1000024798,0001000024798,76
1000024799,0001000024799,165
1000024800,0001000024800,27
1000024801,0001000024801,174
1000024802,0001000024802,60
1000024803,0001000024803,7
1000024804,0001000024804,61
1000024805,0001000024805,340
1000024806,0001000024806,436
1000024807,0001000024807,180
1000024808,0001000024808,110
1000024809,0001000024809,144
1000024810,0001000024810,62
1000024811,0001000024811,129
1000024812,0001000024812,6575
1000024813,0001000024813,523
1000024814,0001000024814,220
1000024815,0001000024815,42
1000024816,0001000024816,40
1000024817,0001000024817,299
1000024818,0001000024818,83
1000024819,0001000024819,909
1000024820,0001000024820,26
1000024821,0001000024821,275
1000024822,0001000024822,341
1000024823,0001000024823,30
1000024824,0001000024824,339
1000024825,0001000024825,52
1000024826,0001000024826,382
1000024827,0001000024827,1303
1000024828,0001000024828,1004
1000024829,0001000024829,633
1000024830,0001000024830,275
1000024831,0001000024831,154
1000024832,0001000024832,170
1000024833,0001000024833,237
1000024834,0001000024834,542
1000024835,0001000024835,217
1000024836,0001000024836,497
1000024837,0001000024837,349
1000024838,0001000024838,50
1000024839,0001000024839,97
1000024840,0001000024840,30
1000024841,0001000024841,8
1000024842,0001000024842,190
1000024843,0001000024843,43
1000024844,0001000024844,8
1000024845,0001000024845,155
1000024846,0001000024846,40
1000024847,0001000024847,17
1000024848,0001000024848,1
1000024849,0001000024849,23
1000024850,0001000024850,311
1000024851,0001000024851,30
1000024852,0001000024852,57
1000024853,0001000024853,296
1000024854,0001000024854,692
1000024855,0001000024855,510
1000024856,0001000024856,91
1000024857,0001000024857,191
1000024858,0001000024858,517
1000024859,0001000024859,1270
1000024860,0001000024860,34
1000024861,0001000024861,71
1000024862,0001000024862,375
1000024863,0001000024863,300
1000024864,0001000024864,598
1000024865,0001000024865,904
1000024866,0001000024866,80
1000024867,0001000024867,182
1000024868,0001000024868,28
1000024869,0001000024869,164
1000024870,0001000024870,69
1000024871,0001000024871,135
1000024872,0001000024872,50
1000024873,0001000024873,242
1000024874,0001000024874,10
1000024875,0001000024875,50
1000024876,0001000024876,160
1000024877,0001000024877,124
1000024878,0001000024878,53
1000024879,0001000024879,20
1000024880,0001000024880,195
1000024881,0001000024881,184
1000024882,0001000024882,333
1000024883,0001000024883,1018
1000024884,0001000024884,441
1000024885,0001000024885,783
1000024886,0001000024886,1108
1000024887,0001000024887,115
1000024888,0001000024888,240
1000024889,0001000024889,190
1000024890,0001000024890,48
1000024891,0001000024891,689
1000024892,0001000024892,121
1000024893,0001000024893,836
1000024894,0001000024894,8
1000024895,0001000024895,112
1000024896,0001000024896,319
1000024897,0001000024897,117
1000024898,0001000024898,300
1000024899,0001000024899,174
1000024900,0001000024900,360
1000024901,0001000024901,228
1000024902,0001000024902,135
1000024903,0001000024903,149
1000024904,0001000024904,56
1000024905,0001000024905,282
1000024906,0001000024906,147
1000024907,0001000024907,46
1000024908,0001000024908,102
1000024909,0001000024909,32
1000024910,0001000024910,40
1000024911,0001000024911,132
1000024913,0001000024913,6
1000024914,0001000024914,43
1000024915,0001000024915,31
1000024916,0001000024916,231
1000024917,0001000024917,644
1000024918,0001000024918,758
1000024919,0001000024919,314
1000024920,0001000024920,138
1000024921,0001000024921,198
1000024922,0001000024922,297
1000024923,0001000024923,90
1000024924,0001000024924,90
1000024925,0001000024925,45
1000024926,0001000024926,36
1000024927,0001000024927,119
1000024928,0001000024928,178
1000024929,0001000024929,7
1000024930,0001000024930,53
1000024931,0001000024931,20
1000024932,0001000024932,37
1000024933,0001000024933,97
1000024934,0001000024934,152
1000024935,0001000024935,69
1000024936,0001000024936,93
1000024937,0001000024937,41
1000024938,0001000024938,211
1000024939,0001000024939,88
1000024940,0001000024940,212
1000024941,0001000024941,347
1000024942,0001000024942,80
1000024943,0001000024943,316
1000024944,0001000024944,24
1000024945,0001000024945,172
1000024946,0001000024946,131
1000024947,0001000024947,146
1000024948,0001000024948,142
1000024949,0001000024949,139
1000024950,0001000024950,93
1000024951,0001000024951,6
1000024952,0001000024952,344
1000024953,0001000024953,379
1000024954,0001000024954,120
1000024955,0001000024955,77
1000024956,0001000024956,47
1000024957,0001000024957,100
1000024958,0001000024958,27
1000024959,0001000024959,149
1000024960,0001000024960,3
1000024961,0001000024961,32
1000024962,0001000024962,22
1000024963,0001000024963,40
1000024964,0001000024964,46
1000024965,0001000024965,60
1000024966,0001000024966,40
1000024967,0001000024967,100
1000024968,0001000024968,96
1000024969,0001000024969,14
1000024970,0001000024970,28
1000024971,0001000024971,90
1000024972,0001000024972,318
1000024973,0001000024973,81
1000024974,0001000024974,110
1000024976,0001000024976,867
1000024977,0001000024977,83
1000024978,0001000024978,72
1000024979,0001000024979,147
1000024980,0001000024980,4
1000024981,0001000024981,82
1000024982,0001000024982,9
1000024983,0001000024983,44
1000024984,0001000024984,60
1000024985,0001000024985,2
1000024986,0001000024986,44
1000024987,0001000024987,140
1000024988,0001000024988,2100
1000024989,0001000024989,347
1000024990,0001000024990,417
1000024991,0001000024991,93
1000024992,0001000024992,40
